base,best_auc,best_auc_cell,best_p5,best_p5_cell,cluster,n_drug,n_pockets,n_seeds,null_max_auc,perm_p,protein,reason,run,source,status,truth_type
0.2895,0.5741,binary|adj|R,0.4,exp|sym|R,CAS0002,22,10,76,0.6428,0.99,CAS_5AM4,,consensus_hop1,casbench,scored,curated_allosteric
0.0694,0.7612,exp|adj|green_zero_0.01,0.2,exp|adj|R,O00299,5,10,72,0.765,0.515,CB_1K0N,,consensus_hop1,cryptobench,scored,drug_contact
0.0714,0.7268,gauss|adj|green_zero_0.01,0.4,binary|adj|green_zero_0.01,Q9RBY1,7,10,98,0.7262,0.48,CB_2ZJ7,,consensus_hop1,cryptobench,scored,drug_contact
0.03,0.811,gauss|sym|residLOG,0.4,harm|sym|R,P39669,3,10,100,0.8373,0.695,CB_3BRK,,consensus_hop1,cryptobench,scored,drug_contact
0.0235,0.8976,harm|comb|R,0.2,binary|comb|R,P0CE47,2,10,85,0.8859,0.47,CB_3U6K,,consensus_hop1,cryptobench,scored,drug_contact
0.1094,0.8872,gauss|sym|green_lmax_0.05,0.4,binary|adj|p_avg,P45723,7,10,64,0.747,0.015,CB_4I8Y,,consensus_hop1,cryptobench,scored,drug_contact
0.0092,0.963,exp|comb|R,0.2,exp|comb|R,Q92AS9,1,10,109,0.9591,0.585,CB_4ZOE,,consensus_hop1,cryptobench,scored,drug_contact
0.0897,0.7827,gauss|sym|residLOG,0.4,exp|sym|R,Q9H7B4,7,10,78,0.7326,0.18,CB_5HQ8,,consensus_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_6KQF,selector empty: {'reason': 'no PASSer entry'},consensus_hop1,,not_scored,
0.119,0.9446,exp|adj|green_lmax_0.05,0.8,binary|adj|green_lmax_0.05,B7GTV0,10,10,84,0.701,0.0,CB_6RXD,,consensus_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_7GOS,seeds 50 drug 0,consensus_hop1,,not_scored,
0.1569,0.6141,harm|comb|R,0.4,gauss|comb|p_peak,Novel cryptic pocket set,16,10,102,0.6633,0.9,PM_1J8F,,consensus_hop1,pocketminer,scored,drug_contact
0.1395,0.6689,binary|adj|green_zero_0.01,0.6,binary|adj|green_zero_0.01,"Fructose-1,6-bisphosphatase 1",12,10,86,0.6875,0.62,ASB_1FRP,,consensus_hop1,asbench,scored,curated_allosteric
0.0141,0.9714,binary|sym|residLOG,0.2,binary|adj|residLOG,Glucosamine-6-phosphate isomerase 1,1,10,71,0.9701,0.625,ASB_1NE7,,consensus_hop1,asbench,scored,curated_allosteric
0.1325,0.798,binary|comb|R,0.4,binary|adj|green_zero_0.05,Tyrosine-protein phosphatase non-receptor type 1,11,10,83,0.6971,0.01,ASB_1T49,,consensus_hop1,asbench,scored,curated_allosteric
0.0594,0.7421,binary|adj|green_zero_0.01,0.4,harm|comb|R,"Glycogen phosphorylase, muscle form",6,10,101,0.7546,0.57,ASB_1Z8D_1,,consensus_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2J0X,seeds 74 drug 0,consensus_hop1,,not_scored,
0.025,0.9103,harm|adj|residLOG,0.2,gauss|adj|green_zero_0.01,Androgen receptor,2,10,80,0.8959,0.455,ASB_2QPY,,consensus_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2Y0P,seeds 83 drug 0,consensus_hop1,,not_scored,
0.051,0.7462,binary|adj|R,0.2,binary|comb|R,"Glycogen phosphorylase, muscle form",5,10,98,0.7738,0.67,ASB_3E3N,,consensus_hop1,asbench,scored,curated_allosteric
0.1649,0.6952,binary|adj|green_zero_0.05,0.4,binary|adj|green_zero_0.01,Pyruvate kinase PKM,16,10,97,0.6649,0.22,ASB_3H6O,,consensus_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_3LU6,seeds 131 drug 0,consensus_hop1,,not_scored,
,,,,,,,,,,,ASB_4E6C,fpocket none,consensus_hop1,,not_scored,
,,,,,,,,,,,ASB_4LRL,seeds 83 drug 0,consensus_hop1,,not_scored,
0.0855,0.9159,exp|sym|residLOG,0.8,binary|sym|residLOG,CAS0027,10,10,117,0.6844,0.0,CAS_1DGK,,consensus_hop1,casbench,scored,curated_allosteric
0.08,0.8179,binary|comb|residLOG,0.4,gauss|comb|R,CAS0001,8,10,100,0.723,0.04,CAS_1OWC,,consensus_hop1,casbench,scored,curated_allosteric
0.1449,0.6356,gauss|comb|R,0.4,gauss|adj|R,CAS0040,10,10,69,0.6916,0.815,CAS_2P9E,,consensus_hop1,casbench,scored,curated_allosteric
0.0127,0.9872,gauss|sym|R,0.2,gauss|sym|R,CAS0002,1,10,79,0.9708,0.62,CAS_3I1Y,,consensus_hop1,casbench,scored,curated_allosteric
0.1413,0.7332,harm|sym|residLOG,0.4,binary|adj|R,CAS0001,13,10,92,0.6856,0.16,CAS_4G6B,,consensus_hop1,casbench,scored,curated_allosteric
0.0972,0.6769,harm|adj|residRAW,0.2,binary|comb|residLOG,CAS0001,7,10,72,0.7382,0.84,CAS_4JAG,,consensus_hop1,casbench,scored,curated_allosteric
0.2558,0.6151,exp|adj|R,0.6,gauss|adj|R,CAS0002,22,10,86,0.6407,0.735,CAS_5AIA,,consensus_hop1,casbench,scored,curated_allosteric
0.2785,0.6419,gauss|sym|R,0.8,gauss|adj|R,CAS0002,22,10,79,0.6465,0.525,CAS_5AKH,,consensus_hop1,casbench,scored,curated_allosteric
0.322,0.6868,gauss|adj|R,0.6,exp|adj|R,CAS0002,19,10,59,0.6585,0.21,CAS_5ALF,,consensus_hop1,casbench,scored,curated_allosteric
0.241,0.6571,binary|sym|green_zero_0.01,0.6,binary|adj|R,CAS0002,20,10,83,0.6518,0.41,CAS_5ALO,,consensus_hop1,casbench,scored,curated_allosteric
0.16,0.6627,gauss|adj|R,0.4,binary|adj|residLOG,CAS0002,12,10,75,0.6754,0.585,CAS_5ALW,,consensus_hop1,casbench,scored,curated_allosteric
0.2614,0.7258,exp|adj|R,0.8,exp|sym|R,CAS0002,23,10,88,0.6404,0.03,CAS_5AM5,,consensus_hop1,casbench,scored,curated_allosteric
0.1538,0.7318,binary|adj|green_lmax_0.05,0.4,binary|adj|R,P00489,22,10,143,0.6381,0.005,CB_1NOK,,consensus_hop1,cryptobench,scored,drug_contact
0.0286,0.9412,exp|adj|R,0.2,binary|adj|residLOG,Q5ZUA2,2,10,70,0.8955,0.33,CB_3AAR,,consensus_hop1,cryptobench,scored,drug_contact
0.0423,0.8922,gauss|adj|green_zero_0.01,0.2,gauss|adj|green_zero_0.01,Q5S3I3,3,10,71,0.8187,0.205,CB_3GL0,,consensus_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_3VQ9,selector empty: {'reason': 'no PASSer entry'},consensus_hop1,,not_scored,
,,,,,,,,,,,CB_4JAX,seeds 77 drug 0,consensus_hop1,,not_scored,
0.1075,0.6747,harm|adj|R,0.4,harm|adj|R,P53590,10,10,93,0.6857,0.555,CB_5CAE,,consensus_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_5IWI,selector empty: {'reason': 'no PASSer entry'},consensus_hop1,,not_scored,
0.1013,0.7641,harm|comb|R,0.4,gauss|comb|R,P9WNV1,8,10,79,0.7277,0.26,CB_6KSC,,consensus_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_6U9C,seeds 67 drug 0,consensus_hop1,,not_scored,
,,,,,,,,,,,CB_7Q00,selector empty: {'reason': 'no PASSer entry'},consensus_hop1,,not_scored,
0.0463,0.8447,harm|comb|R,0.2,binary|comb|p_avg,"NAD-dependent malic enzyme, mitochondrial",5,10,108,0.7704,0.165,ASB_1GZ3,,consensus_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_1NH8,seeds 71 drug 0,consensus_hop1,,not_scored,
,,,,,,,,,,,ASB_1UXV,seeds 78 drug 0,consensus_hop1,,not_scored,
0.1071,0.7185,harm|sym|R,0.4,binary|adj|R,Pyruvate dehydrogenase kinase isozyme 2,9,10,84,0.7059,0.355,ASB_2BU8,,consensus_hop1,asbench,scored,curated_allosteric
0.0435,0.8333,gauss|sym|residLOG,0.4,exp|adj|green_zero_0.01,"Tryptophan 2,3-dioxygenase",3,10,69,0.8471,0.6,ASB_2NW8,,consensus_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2R1R,seeds 86 drug 0,consensus_hop1,,not_scored,
0.1613,0.7058,gauss|comb|R,0.8,gauss|sym|residLOG,Androgen receptor,10,10,62,0.7008,0.45,ASB_2YLO,,consensus_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_3ETE_1,seeds 82 drug 0,consensus_hop1,,not_scored,
0.1546,0.6886,binary|adj|R,0.6,gauss|comb|residLOG,Pyruvate kinase,15,10,97,0.667,0.29,ASB_3HQP,,consensus_hop1,asbench,scored,curated_allosteric
0.1379,0.6689,gauss|comb|R,0.4,binary|adj|green_zero_0.01,Mitogen-activated protein kinase 8,12,10,87,0.6885,0.65,ASB_3O2M,,consensus_hop1,asbench,scored,curated_allosteric
0.0278,0.8984,binary|adj|R,0.2,binary|adj|p_peak,Pyruvate kinase PKM,3,10,108,0.8336,0.175,ASB_4G1N,,consensus_hop1,asbench,scored,curated_allosteric
0.0789,0.6444,gauss|adj|R,0.4,binary|comb|R,"Glycogen phosphorylase, muscle form",9,10,114,0.7156,0.935,ASB_4MRA,,consensus_hop1,asbench,scored,curated_allosteric
0.098,0.7174,exp|comb|R,0.4,exp|sym|residLOG,CAS0010,5,8,51,0.7641,0.795,CAS_1I2D,,consensus_hop1,casbench,scored,curated_allosteric
,,,,,,,,,,,CAS_1PSD,seeds 57 drug 0,consensus_hop1,,not_scored,
,,,,,,,,,,,CAS_2P9G,seeds 62 drug 0,consensus_hop1,,not_scored,
0.2143,0.5777,binary|sym|R,0.6,gauss|comb|R,CAS0002,24,10,112,0.6267,0.915,CAS_3I28,,consensus_hop1,casbench,scored,curated_allosteric
0.0745,0.7685,binary|adj|green_lmax_0.05,0.2,binary|adj|residLOG,CAS0001,7,10,94,0.7417,0.29,CAS_4JAD,,consensus_hop1,casbench,scored,curated_allosteric
0.2593,0.681,harm|sym|R,0.6,binary|adj|R,CAS0002,21,10,81,0.6456,0.17,CAS_5AHX,,consensus_hop1,casbench,scored,curated_allosteric
0.1667,0.6769,exp|adj|R,0.4,exp|adj|R,CAS0002,13,10,78,0.6675,0.385,CAS_5AK4,,consensus_hop1,casbench,scored,curated_allosteric
0.2333,0.6584,binary|adj|R,0.6,binary|adj|R,CAS0002,21,10,90,0.6382,0.285,CAS_5AKX,,consensus_hop1,casbench,scored,curated_allosteric
0.2857,0.7116,binary|sym|green_zero_0.01,0.6,harm|sym|R,CAS0002,22,10,77,0.6441,0.055,CAS_5ALH,,consensus_hop1,casbench,scored,curated_allosteric
0.0172,0.9825,gauss|adj|green_zero_0.01,0.2,gauss|adj|green_zero_0.01,CAS0002,1,10,58,0.9665,0.625,CAS_5ALT,,consensus_hop1,casbench,scored,curated_allosteric
0.2619,0.643,gauss|adj|R,0.6,binary|adj|R,CAS0002,22,10,84,0.6385,0.45,CAS_5ALY,,consensus_hop1,casbench,scored,curated_allosteric
0.0405,0.8779,gauss|sym|residLOG,0.4,gauss|sym|residLOG,P18031,3,10,74,0.8391,0.315,CB_1BZJ,,consensus_hop1,cryptobench,scored,drug_contact
0.0405,0.7183,gauss|adj|green_zero_0.01,0.0,binary|adj|p_avg,P02879,3,10,74,0.84,0.95,CB_1RTC,,consensus_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_3BGL,selector empty: {'reason': 'no PASSer entry'},consensus_hop1,,not_scored,
,,,,,,,,,,,CB_3KJR,selector empty: {'reason': 'no PASSer entry'},consensus_hop1,,not_scored,
,,,,,,,,,,,CB_4CON,selector empty: {'reason': 'no PASSer entry'},consensus_hop1,,not_scored,
0.0556,0.7529,harm|sym|green_lmax_0.05,0.4,exp|adj|green_zero_0.01,P07814,5,10,90,0.7706,0.61,CB_4K86,,consensus_hop1,cryptobench,scored,drug_contact
0.0594,0.8526,binary|adj|green_lmax_0.05,0.6,binary|adj|green_lmax_0.05,Q89ZX5,6,10,101,0.7484,0.05,CB_5CK1,,consensus_hop1,cryptobench,scored,drug_contact
0.0549,0.714,binary|adj|green_zero_0.01,0.2,binary|adj|green_zero_0.05,O32553,5,10,91,0.7859,0.9,CB_5UXA,,consensus_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_6NLF,selector empty: {'reason': 'no PASSer entry'},consensus_hop1,,not_scored,
,,,,,,,,,,,CB_6XQX,seeds 88 drug 0,consensus_hop1,,not_scored,
0.029,0.9254,binary|sym|residLOG,0.2,binary|sym|p_avg,G3XDA2,2,10,69,0.9041,0.435,CB_8CN8,,consensus_hop1,cryptobench,scored,drug_contact
0.1765,0.7202,binary|sym|residLOG,0.6,binary|sym|residRAW,Pyruvate kinase 1,12,10,68,0.6882,0.265,ASB_1A3W,,consensus_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_1H78,seeds 57 drug 0,consensus_hop2,,not_scored,
0.2105,0.6792,harm|comb|R,0.6,harm|comb|R,ATP-dependent 6-phosphofructokinase isozyme 1,8,10,38,0.7319,0.835,ASB_1PFK,,consensus_hop2,asbench,scored,curated_allosteric
0.1573,0.9438,binary|comb|green_lmax_0.05,1.0,binary|comb|p_avg,Response regulator PleD,14,10,89,0.6701,0.0,ASB_1W25,,consensus_hop2,asbench,scored,curated_allosteric
0.2029,0.9286,binary|adj|green_lmax_0.05,1.0,binary|adj|green_lmax_0.05,Serum albumin,14,10,69,0.6816,0.0,ASB_2BXA,,consensus_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2PA3,seeds 61 drug 0,consensus_hop2,,not_scored,
,,,,,,,,,,,ASB_2VD3,seeds 55 drug 0,consensus_hop2,,not_scored,
0.06,0.672,binary|adj|green_zero_0.01,0.4,gauss|comb|residLOG,"Glycogen phosphorylase, liver form",6,10,100,0.7593,0.965,ASB_3CEH,,consensus_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_3ETG,seeds 72 drug 0,consensus_hop2,,not_scored,
0.1944,0.6946,binary|adj|residLOG,0.6,gauss|sym|R,"Fructose-1,6-bisphosphatase isozyme 2",14,10,72,0.6854,0.405,ASB_3IFA,,consensus_hop2,asbench,scored,curated_allosteric
0.069,0.7685,binary|adj|R,0.4,binary|adj|residLOG,Phospho-2-dehydro-3-deoxyheptonate aldolase,4,10,58,0.7963,0.64,ASB_3PG9,,consensus_hop2,asbench,scored,curated_allosteric
0.0175,1.0,gauss|comb|R,0.2,gauss|comb|R,2-dehydro-3-deoxyphosphoheptonate aldolase,1,10,57,0.9828,0.545,ASB_4GRS,,consensus_hop2,asbench,scored,curated_allosteric
0.1296,0.6596,harm|sym|R,0.4,exp|sym|R,ATP-dependent 6-phosphofructokinase,7,10,54,0.7325,0.915,ASB_4PFK,,consensus_hop2,asbench,scored,curated_allosteric
0.1216,0.7385,binary|adj|p_avg,0.4,binary|adj|green_zero_0.01,CAS0001,9,10,74,0.7114,0.32,CAS_1NXE,,consensus_hop2,casbench,scored,curated_allosteric
,,,,,,,,,,,CAS_1YBA,seeds 45 drug 0,consensus_hop2,,not_scored,
,,,,,,,,,,,CAS_2PA3,seeds 52 drug 0,consensus_hop2,,not_scored,
0.2778,0.7154,binary|sym|green_zero_0.01,0.4,binary|sym|R,CAS0002,20,10,72,0.6558,0.075,CAS_3KOO,,consensus_hop2,casbench,scored,curated_allosteric
0.2059,0.7183,binary|adj|p_avg,0.8,binary|adj|p_peak,CAS0001,14,10,68,0.6796,0.165,CAS_4JAE,,consensus_hop2,casbench,scored,curated_allosteric
0.2593,0.673,exp|adj|R,0.8,exp|adj|R,CAS0002,21,10,81,0.6478,0.23,CAS_5AI4,,consensus_hop2,casbench,scored,curated_allosteric
0.2474,0.5502,binary|sym|residLOG,0.4,exp|sym|R,CAS0002,24,10,97,0.641,1.0,CAS_5AK5,,consensus_hop2,casbench,scored,curated_allosteric
0.274,0.717,binary|sym|green_zero_0.01,0.6,harm|sym|R,CAS0002,20,10,73,0.6554,0.085,CAS_5AKY,,consensus_hop2,casbench,scored,curated_allosteric
0.0164,1.0,binary|adj|R,0.2,binary|adj|R,CAS0002,1,10,61,0.9573,0.285,CAS_5ALM,,consensus_hop2,casbench,scored,curated_allosteric
0.3385,0.6617,exp|sym|R,0.8,exp|sym|R,CAS0002,22,10,65,0.6505,0.37,CAS_5ALU,,consensus_hop2,casbench,scored,curated_allosteric
0.2188,0.7843,gauss|adj|R,0.8,gauss|adj|R,CAS0002,14,10,64,0.6733,0.01,CAS_5AM0,,consensus_hop2,casbench,scored,curated_allosteric
0.0566,0.9267,binary|comb|green_lmax_0.05,0.4,binary|adj|green_lmax_0.05,P00590,3,10,53,0.8411,0.135,CB_1CUZ,,consensus_hop2,cryptobench,scored,drug_contact
0.08,0.9565,harm|adj|green_zero_0.01,0.6,exp|adj|p_peak,Q93096,4,9,50,0.8164,0.02,CB_1RXD,,consensus_hop2,cryptobench,scored,drug_contact
0.1415,0.7553,exp|comb|R,0.6,exp|comb|R,P25114,15,10,106,0.6606,0.02,CB_3BIF,,consensus_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_3P3I,selector empty: {'reason': 'no PASSer entry'},consensus_hop2,,not_scored,
0.2254,0.892,binary|comb|green_lmax_0.05,1.0,binary|comb|green_lmax_0.05,Q9H7Z6,16,10,71,0.67,0.0,CB_4DNC,,consensus_hop2,cryptobench,scored,drug_contact
0.1781,0.7077,binary|sym|residLOG,0.6,binary|sym|p_peak,O28597,13,10,73,0.6843,0.29,CB_4TWI,,consensus_hop2,cryptobench,scored,drug_contact
0.1139,0.7381,gauss|adj|green_lmax_0.05,0.6,binary|adj|green_lmax_0.05,A0QUZ2,9,10,79,0.7131,0.305,CB_5GGC,,consensus_hop2,cryptobench,scored,drug_contact
0.0256,1.0,binary|adj|green_zero_0.05,0.2,binary|adj|p_avg,Q9RY20,1,10,39,0.9861,0.67,CB_6AQE,,consensus_hop2,cryptobench,scored,drug_contact
0.0769,0.7396,binary|sym|R,0.4,exp|sym|residLOG,O43175,4,8,52,0.7991,0.825,CB_6PLF,,consensus_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_6Z89,selector empty: {'reason': 'no PASSer entry'},consensus_hop2,,not_scored,
0.2034,0.6454,binary|sym|R,0.4,binary|adj|R,2ZB1,12,10,59,0.6924,0.795,CS_2ZB1,,consensus_hop2,cryptosite,scored,drug_contact
,,,,,,,,,,,ASB_1EM6,fpocket none,consensus_hop2,,not_scored,
0.2048,0.6533,harm|comb|residRAW,0.6,binary|adj|R,Sulfate adenylyltransferase,17,10,83,0.6534,0.52,ASB_1M8P,,consensus_hop2,asbench,scored,curated_allosteric
0.029,0.9701,harm|comb|green_lmax_0.05,0.4,harm|comb|green_lmax_0.05,Parathion hydrolase,2,10,69,0.9137,0.2,ASB_1QW7,,consensus_hop2,asbench,scored,curated_allosteric
0.1296,0.8245,gauss|comb|green_lmax_0.05,0.8,harm|sym|residLOG,Acetyl-CoA carboxylase,14,10,108,0.6722,0.0,ASB_1W96,,consensus_hop2,asbench,scored,curated_allosteric
0.0762,0.701,exp|comb|p_peak,0.6,gauss|comb|residLOG,"Glycogen phosphorylase, muscle form",8,10,105,0.7225,0.59,ASB_2IEG,,consensus_hop2,asbench,scored,curated_allosteric
0.2456,0.6777,exp|sym|R,0.6,binary|comb|R,"Fructose-1,6-bisphosphatase class 1",14,10,57,0.6874,0.555,ASB_2Q8M_2,,consensus_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2VGI,seeds 79 drug 0,consensus_hop2,,not_scored,
,,,,,,,,,,,ASB_3DC2,seeds 71 drug 0,consensus_hop2,,not_scored,
,,,,,,,,,,,ASB_3FUD,seeds 72 drug 0,consensus_hop2,,not_scored,
0.0189,0.9423,gauss|adj|green_zero_0.01,0.2,gauss|adj|R,Glutamate receptor 3,1,10,53,0.9792,0.93,ASB_3LSX,,consensus_hop2,asbench,scored,curated_allosteric
0.0444,0.9331,exp|sym|residRAW,0.2,binary|comb|R,Ribonucleoside-diphosphate reductase 1 subunit alpha,4,10,90,0.8079,0.03,ASB_3R1R,,consensus_hop2,asbench,scored,curated_allosteric
0.1974,0.6557,binary|adj|green_zero_0.01,0.6,exp|comb|R,Pyruvate kinase 1,15,10,76,0.671,0.6,ASB_4HYW,,consensus_hop2,asbench,scored,curated_allosteric
0.0708,0.9488,exp|adj|residRAW,0.6,binary|adj|residLOG,CAS0027,8,10,113,0.7,0.0,CAS_1CZA,,consensus_hop2,casbench,scored,curated_allosteric
0.1364,0.7708,gauss|adj|green_lmax_0.05,0.2,binary|adj|p_avg,CAS0001,12,10,88,0.6899,0.05,CAS_1NXG,,consensus_hop2,casbench,scored,curated_allosteric
,,,,,,,,,,,CAS_2P9C,seeds 41 drug 0,consensus_hop2,,not_scored,
,,,,,,,,,,,CAS_3DDN,seeds 89 drug 0,consensus_hop2,,not_scored,
0.0896,0.7705,harm|sym|R,0.6,binary|adj|R,CAS0002,6,10,67,0.7407,0.3,CAS_3OTQ,,consensus_hop2,casbench,scored,curated_allosteric
0.1406,0.7697,binary|comb|green_lmax_0.05,0.4,binary|adj|green_zero_0.01,CAS0001,9,10,64,0.716,0.16,CAS_4JAF,,consensus_hop2,casbench,scored,curated_allosteric
0.2619,0.61,exp|adj|R,0.6,binary|adj|R,CAS0002,22,10,84,0.6428,0.82,CAS_5AI5,,consensus_hop2,casbench,scored,curated_allosteric
0.2881,0.7451,exp|adj|R,0.8,exp|adj|R,CAS0002,17,10,59,0.6614,0.055,CAS_5AKE,,consensus_hop2,casbench,scored,curated_allosteric
0.2812,0.6171,exp|adj|R,0.8,binary|comb|R,CAS0002,18,10,64,0.6572,0.82,CAS_5ALD,,consensus_hop2,casbench,scored,curated_allosteric
0.0299,0.8615,gauss|comb|R,0.0,binary|adj|p_avg,CAS0002,2,10,67,0.8676,0.585,CAS_5ALN,,consensus_hop2,casbench,scored,curated_allosteric
0.4167,0.7817,harm|sym|R,0.8,harm|sym|R,CAS0002,25,10,60,0.6572,0.01,CAS_5ALV,,consensus_hop2,casbench,scored,curated_allosteric
0.3607,0.648,binary|sym|green_zero_0.01,0.6,binary|adj|green_zero_0.01,CAS0002,22,10,61,0.6629,0.645,CAS_5AM4,,consensus_hop2,casbench,scored,curated_allosteric
0.0746,0.7645,exp|adj|green_zero_0.01,0.2,exp|adj|R,O00299,5,10,67,0.7781,0.61,CB_1K0N,,consensus_hop2,cryptobench,scored,drug_contact
0.1186,0.7363,harm|comb|residLOG,0.4,binary|adj|green_zero_0.01,Q9RBY1,7,10,59,0.7336,0.485,CB_2ZJ7,,consensus_hop2,cryptobench,scored,drug_contact
0.0345,0.8175,gauss|sym|residLOG,0.4,harm|sym|R,P39669,3,10,87,0.8355,0.63,CB_3BRK,,consensus_hop2,cryptobench,scored,drug_contact
0.0241,0.8951,harm|comb|R,0.2,binary|comb|R,P0CE47,2,10,83,0.886,0.535,CB_3U6K,,consensus_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_4I8Y,fpocket none,consensus_hop2,,not_scored,
0.0106,0.957,exp|adj|R,0.2,exp|adj|R,Q92AS9,1,10,94,0.9654,0.755,CB_4ZOE,,consensus_hop2,cryptobench,scored,drug_contact
0.1094,0.8446,gauss|sym|p_avg,0.6,gauss|sym|p_peak,Q9H7B4,7,10,64,0.741,0.065,CB_5HQ8,,consensus_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_6KQF,selector empty: {'reason': 'no PASSer entry'},consensus_hop2,,not_scored,
0.119,0.9446,exp|adj|green_lmax_0.05,0.8,binary|adj|green_lmax_0.05,B7GTV0,10,10,84,0.7014,0.0,CB_6RXD,,consensus_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_7GOS,seeds 38 drug 0,consensus_hop2,,not_scored,
,,,,,,,,,,,PM_1J8F,fpocket none,consensus_hop2,,not_scored,
,,,,,,,,,,,ASB_1FRP,fpocket none,consensus_hop2,,not_scored,
0.0196,0.98,gauss|adj|p_peak,0.2,binary|sym|p_avg,Glucosamine-6-phosphate isomerase 1,1,10,51,0.9745,0.74,ASB_1NE7,,consensus_hop2,asbench,scored,curated_allosteric
0.1549,0.7894,binary|comb|R,0.4,binary|adj|green_zero_0.05,Tyrosine-protein phosphatase non-receptor type 1,11,10,71,0.7,0.01,ASB_1T49,,consensus_hop2,asbench,scored,curated_allosteric
0.0612,0.7482,binary|adj|green_zero_0.01,0.4,harm|comb|R,"Glycogen phosphorylase, muscle form",6,10,98,0.7524,0.485,ASB_1Z8D_1,,consensus_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2J0X,seeds 46 drug 0,consensus_hop2,,not_scored,
0.0435,0.9318,harm|adj|residLOG,0.2,exp|comb|p_avg,Androgen receptor,2,10,46,0.9066,0.42,ASB_2QPY,,consensus_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2Y0P,seeds 70 drug 0,consensus_hop2,,not_scored,
0.0532,0.7393,binary|adj|R,0.2,binary|comb|R,"Glycogen phosphorylase, muscle form",5,10,94,0.7715,0.695,ASB_3E3N,,consensus_hop2,asbench,scored,curated_allosteric
0.1739,0.7204,binary|adj|green_zero_0.05,0.4,binary|adj|green_zero_0.05,Pyruvate kinase PKM,16,10,92,0.66,0.08,ASB_3H6O,,consensus_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_3LU6,seeds 110 drug 0,consensus_hop2,,not_scored,
0.0625,0.8333,exp|comb|R,0.4,exp|comb|R,Mitogen-activated protein kinase 14,4,10,64,0.8035,0.355,ASB_4E6C,,consensus_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_4LRL,seeds 62 drug 0,consensus_hop2,,not_scored,
,,,,,,,,,,,CAS_1DGK,fpocket none,consensus_hop2,,not_scored,
0.127,0.8091,binary|comb|p_avg,0.4,binary|comb|p_avg,CAS0001,8,10,63,0.7331,0.08,CAS_1OWC,,consensus_hop2,casbench,scored,curated_allosteric
0.1887,0.6814,gauss|comb|R,0.4,exp|comb|R,CAS0040,10,10,53,0.696,0.6,CAS_2P9E,,consensus_hop2,casbench,scored,curated_allosteric
0.0143,0.9855,gauss|sym|R,0.2,gauss|sym|R,CAS0002,1,10,70,0.9714,0.64,CAS_3I1Y,,consensus_hop2,casbench,scored,curated_allosteric
0.1912,0.7273,exp|sym|residLOG,0.6,harm|sym|p_avg,CAS0001,13,10,68,0.6899,0.225,CAS_4G6B,,consensus_hop2,casbench,scored,curated_allosteric
0.1458,0.6794,exp|sym|residRAW,0.4,gauss|comb|p_peak,CAS0001,7,10,48,0.7505,0.895,CAS_4JAG,,consensus_hop2,casbench,scored,curated_allosteric
0.2821,0.6964,binary|sym|green_zero_0.01,0.6,gauss|adj|R,CAS0002,22,10,78,0.6373,0.055,CAS_5AIA,,consensus_hop2,casbench,scored,curated_allosteric
0.3143,0.6799,gauss|sym|R,0.8,gauss|adj|R,CAS0002,22,10,70,0.654,0.23,CAS_5AKH,,consensus_hop2,casbench,scored,curated_allosteric
0.4872,0.8263,binary|sym|green_zero_0.01,0.8,gauss|adj|R,CAS0002,19,10,39,0.6882,0.005,CAS_5ALF,,consensus_hop2,casbench,scored,curated_allosteric
0.241,0.6571,binary|sym|green_zero_0.01,0.6,binary|adj|R,CAS0002,20,10,83,0.6537,0.475,CAS_5ALO,,consensus_hop2,casbench,scored,curated_allosteric
0.2222,0.7024,binary|sym|R,0.8,binary|sym|R,CAS0002,12,10,54,0.6858,0.37,CAS_5ALW,,consensus_hop2,casbench,scored,curated_allosteric
